"1131712561034997761^'which do you like better  microsoft or apple? -- androidface with tears of joy'^2019-05-24^00:04:35^56"
"1131712563442376704^'microsoft: bring back blue rose - sign the petition! via'^2019-05-24^00:04:35^11"
"1131712564994433024^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:04:36^1199"
"1131712567674638336^'skype is terrible with features to connect me and indentify my neighbors meetup microsoft bing airbnb '^2019-05-24^00:04:36^171"
"1131712570702868481^'rt : student surprise: the nd richest man in the world visited chattanooga for the st time thursday microsoft founder '^2019-05-24^00:04:37^1726"
"1131712574351912960^'good question! here's the link for you :)'^2019-05-24^00:04:38^21"
"1131712582535065603^'which do you like better  microsoft or apple? -- pffffff'^2019-05-24^00:04:40^7601"
"1131712586788069378^'rt : carve out  minutes in your day to at least read the list of what's in this epic configmgr  tech preview https:'^2019-05-24^00:04:41^7"
"1131712616705994753^'im an apple girl but ive always fancied microsoft'^2019-05-24^00:04:48^1338"
"1131712629771259905^'which do you like better  microsoft or apple? -- grapes!!!!!'^2019-05-24^00:04:51^1259"
"1131712644363145217^'hey i use my windows to go drive for enterprise use with windows  so what does this mean for me? (btw  we update them after a couple weeks after a new release of windows) cc:'^2019-05-24^00:04:55^204"
"1131712645718052864^'huawei says its own operating system could be ready this year if it can't use google or microsoft'^2019-05-24^00:04:55^20"
"1131712656996556803^'rt : semiconductor startup cnex labs alleged huawei's deputy chairman conspired to steal its intellectual property'^2019-05-24^00:04:58^0"
"1131712666299453440^'thanks microsoft'^2019-05-24^00:05:00^4"
"1131712670296616960^'rt : how does a ""hype cycle"" impact the growth of an emerging technology like crypto?   coinbase vp of engineering '^2019-05-24^00:05:01^569"
"1131712677913485318^'microsoft squats with trump and removes huawei products from server catalog - diario financiero'^2019-05-24^00:05:03^410"
"1131712685123485696^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:05:04^121"
"1131712697672830977^'""microsoft exec to partners: adapt your business model or die"" james chadwick  microsoft's cloud services partner lead explains the risk partners are facing if they don't redesign their business models read more with for :'^2019-05-24^00:05:07^150"
"1131712710473920512^'hewlett packard microsoft as well as apple have one not so obvious thing in common  all  were started in a garage technology fact'^2019-05-24^00:05:11^146144"
"1131712723920871429^'which do you like better  microsoft or apple? -- vivi'^2019-05-24^00:05:14^233"
"1131712732716158976^'congrats and welcome!'^2019-05-24^00:05:16^1989"
"1131712732938625024^'rt : just aired: our superbowl commercial when everybody plays  we all win sbliii'^2019-05-24^00:05:16^6"
"1131712735513927680^'which do you like better  microsoft or apple? -- applee!!'^2019-05-24^00:05:17^167"
"1131712762533560321^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:05:23^2248"
"1131712767927431168^'rt : a onenote avenger's reaction to the big flipgrid + microsoft news i've been inspired by !'^2019-05-24^00:05:24^2"
"1131712772771852293^'rt : greg sullivan of   discusses how they are preparing for spanning the entire continuum of immersive technology'^2019-05-24^00:05:25^793"
"1131712781642805248^'which do you like better  microsoft or apple? -- both is fine'^2019-05-24^00:05:28^88"
"1131712787602903040^'office  roadmap | microsoft teams: single toolbar for controls in meetings and calling uforoadmap office'^2019-05-24^00:05:29^31"
"1131712792283820033^'rt : by the way look at this great example of currency conversion  powerbi dax'^2019-05-24^00:05:30^190"
"1131712793214967808^'one team:one goal = the whole staff getting mie certified -'^2019-05-24^00:05:30^303"
"1131712800387059712^'rt : today is the day my friends  memory-optimized tempdb metadata is now in public preview!'^2019-05-24^00:05:32^1872"
"1131712826165342209^'which do you like better  microsoft or apple? -- apple  but i can't wait for hongmeng'^2019-05-24^00:05:38^111"
"1131712837116682241^'how hard are you coming for facialrecognitionsoftware ?'^2019-05-24^00:05:41^615"
"1131712842246381568^'kindle free exploring microsoft office  volume  (exploring for office  series) =&gt;'^2019-05-24^00:05:42^0"
"1131712844037337088^'which do you like better  microsoft or apple? --'^2019-05-24^00:05:42^544"
"1131712846088278016^'which do you like better  microsoft or apple? -- both in their respective devices windows mobile is useless  and windows 's performance is very unpredictable from one device to another'^2019-05-24^00:05:43^615"
"1131712868930523137^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:05:48^104"
"1131712890279518210^'which do you like better  microsoft or apple? -- i appreciate apple but i hate how simple apple is'^2019-05-24^00:05:53^41"
"1131712900874293254^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:05:56^66"
"1131712904313622530^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:05:57^4299"
